record_id,source_id,county_code,parent_source,apps_received,new_registrations,name_changes,address_changes,party_changes,regis_updates,rej_apps,county_desc,description,rej_dupes,nonrej_dupes,apps_received_prior,new_registrations_prior,name_changes_prior,address_changes_prior,party_changes_prior,regis_updates_prior,rej_apps_prior,rej_dupes_prior,nonrej_dupes_prior
31,18547,47446,s6145,32172,22433,18677,36152,6208,3885,789,s27751,s9610,2367,45139,12618,42671,34705,8028,19737,18833,34327,16113,38201
32,43970,33698,s6635,49585,18344,25050,11122,31220,33288,34673,s4696,s44190,46841,21994,11901,661,491,41964,10038,31923,44859,28799,35124
33,9469,40264,s4584,2883,46013,18004,20170,19654,19609,26961,s45165,s34553,27431,15585,19518,21813,28300,41291,24714,37163,29048,24265,17464
34,13916,46411,s30804,45351,6440,26980,49640,44539,12672,43708,s15182,s33545,32405,15012,13272,19630,4737,2345,7567,36404,6761,33595,37449
35,14926,38179,s41347,16342,16925,28912,30513,13582,27987,7008,s43112,s16001,17993,25210,28837,27849,23872,36310,787,18166,40853,20586,10011
36,9279,17823,s39694,20971,41431,15355,14704,47655,12429,29081,s39730,s15176,34576,39323,11114,36012,37733,22193,1757,45453,26855,49888,42338
37,734,3146,s31235,25694,10940,49919,40348,3697,33830,4678,s32075,s10062,40440,7318,47825,30024,8324,41741,10170,15744,12869,14910,31235
38,1761,22648,s14797,1815,48359,5843,2508,22687,31784,8610,s5816,s33819,40214,42526,37376,27012,9734,41849,14538,23177,35798,9556,21847
39,2279,47461,s10144,35465,35154,34238,38227,11758,6832,1090,s21030,s4111,20196,18439,17747,24364,16889,5208,27134,15474,44613,11310,21254
40,21756,24681,s38598,17100,26087,185,29724,1856,36399,47230,s19336,s48346,21736,34514,4472,1973,8407,8226,5314,46323,15017,32793,43158
41,32516,6452,s27521,16390,667,15889,20568,42124,952,30966,s11635,s21100,9697,22936,47306,47726,8612,10643,47048,6982,33584,49074,11360
42,41133,13942,s37750,6724,19249,4723,35226,26345,18958,1261,s30203,s4454,44955,41573,24201,38347,25575,15459,11842,40986,23866,32179,41805
43,1855,35269,s33595,15468,38148,7147,13563,19506,21140,21102,s44349,s18332,39402,47786,44266,9551,41108,19616,18670,25273,6539,22484,28611
44,22690,11515,s46171,38606,13325,10322,28994,48216,26544,34917,s20295,s49494,7139,2999,16566,26922,11321,21478,5124,28724,21303,20321,22794
45,18548,7556,s35239,24171,30042,23704,7366,21254,13777,23510,s1321,s34323,48067,35500,38105,41014,17255,33534,33436,30039,29855,35194,41730
46,49646,41738,s27317,15211,46023,8717,48282,3212,21712,42422,s28065,s36206,41458,23233,7149,8692,24727,16040,8327,15860,36166,27812,44226
47,41928,34087,s32310,26741,33584,34203,40027,41161,36513,48412,s15368,s38086,27995,13291,38965,40907,17072,6793,43394,17262,29898,38411,22611
48,42041,18182,s32867,37432,40636,31497,30011,26326,38654,972,s44768,s45865,31220,38393,9700,31072,42379,40930,37429,24233,11791,25646,11416
49,33570,37879,s28618,33278,49659,7456,40886,46160,6163,24047,s6909,s41722,17545,25100,4363,42128,39372,673,47457,28790,12992,20981,41483
50,40395,45027,s46057,48565,250,40565,9556,36445,892,6757,s47248,s2966,25421,26038,49942,184,6088,25342,13545,866,28332,46803,10777
51,39150,12359,s48958,40601,13789,41211,32716,7685,37179,32403,s48443,s45439,33516,35580,19309,31354,4859,41661,2816,47474,45242,8823,8438
52,13246,17920,s25380,37406,2471,27324,26892,31486,21537,15500,s37771,s28649,17290,20811,46322,15917,45921,30228,36696,11187,37075,36680,27856
53,21145,45955,s4877,25532,16090,7852,2171,6287,23202,22563,s15403,s11758,2614,25779,12659,30459,47231,44597,25007,6777,39997,13579,14617
54,22337,20695,s7253,39294,26295,45565,43703,8829,23935,2491,s45471,s1884,10010,44052,1095,8721,42648,1992,17559,32925,7677,11687,5447
55,10720,33358,s19101,5750,44854,25609,2410,37738,36091,2795,s30148,s21924,43126,8714,22177,43259,15308,15547,34649,10732,30547,28590,1542
56,29563,6080,s9021,25109,5008,38775,49813,23329,1530,24360,s22188,s49534,10327,12081,23231,47275,8491,678,33858,5869,5843,12775,20910
57,38909,37803,s42169,28323,336,37488,22753,17462,39311,9564,s47904,s38803,21723,35875,40486,15796,3284,47524,32983,4968,21630,24889,30986
58,23806,40862,s47892,21604,41950,39836,12383,1926,694,48643,s9406,s26048,48936,3043,42053,36838,14970,10427,10004,10675,21180,1672,33555
59,21956,37616,s31351,9183,2567,5046,37477,41846,525,11149,s1439,s28379,15463,17107,16104,24852,44468,48700,9217,30565,20192,18387,4611
60,43425,34661,s27026,9066,45347,1740,14563,18339,11154,46973,s30764,s2345,25340,38638,47003,5423,24373,31161,19776,28090,43991,38031,34185
61,18403,20557,s20575,46704,48255,17583,22023,12682,22529,1802,s11170,s31190,8240,14583,7310,37629,8736,42392,46344,10526,15468,35561,7979
62,34344,25870,s44549,15170,1020,30061,1353,48566,35784,30840,s29615,s35943,400,12139,17090,38546,16932,37181,23178,47928,18861,9913,44668
63,14161,10968,s14900,365,47436,2163,1708,27980,6473,32609,s20517,s10735,39391,12491,30227,1168,27000,13058,23607,47892,130,48294,4360
64,40919,15906,s44879,17346,39601,30970,42057,29143,4686,44659,s49823,s6802,12245,22593,27073,37009,2333,22819,27108,2018,10606,6269,40163
65,6008,37124,s31186,33096,21709,13344,36787,32512,8140,48665,s23636,s5861,18951,27235,15061,9633,29922,47334,27346,6049,6741,35369,44465
66,28326,28112,s48829,36563,9571,5870,19479,30398,904,36130,s2861,s35768,44268,26843,15918,18401,49601,10763,47385,27861,19061,41924,27226
67,1169,35520,s44729,16963,34222,47026,29108,26256,48851,2750,s25167,s12378,25864,29884,13901,31485,19578,44290,45510,23320,49943,6892,43782
68,41391,47789,s11480,32667,46227,37206,35989,18445,10781,12547,s13137,s25582,30758,24186,47170,30329,30134,26490,27711,18386,21092,23731,14132
69,28910,14979,s37689,6090,2753,5984,38719,39263,48461,84,s45803,s30613,25707,19529,8403,17014,45666,15669,41268,37001,18099,702,44328
70,49314,5297,s30532,44444,46728,39165,40416,3697,34878,25195,s12825,s22127,8681,43231,19865,21059,11041,29814,42160,26742,12122,8937,30742
71,31600,34224,s49561,26469,39400,47136,36510,14566,2572,13175,s45605,s49804,17128,32680,25823,29149,11871,32269,9621,38339,35409,19290,4509
72,1017,21363,s8442,299,27478,29245,42395,15600,28277,3637,s49702,s12265,11882,23992,48677,18346,8013,41323,34314,40440,47018,45192,22316
73,46870,26127,s49500,23781,2900,38143,12526,17682,42563,20689,s28765,s49640,29499,5097,5490,26475,39921,12630,17419,40089,5269,39781,21348
74,28955,20974,s46365,39210,40818,7700,14792,13370,4133,3304,s3334,s35252,31240,32946,42098,15274,45553,27327,24298,3327,3926,23208,26919
75,16500,43653,s3554,4735,17450,2024,25263,14998,5618,48881,s48273,s41617,13977,7190,1128,19148,376,41517,17596,10848,48529,37218,32051
76,21597,9790,s21773,26487,24286,37249,30776,27124,28850,43759,s47229,s15154,24878,17321,6600,5474,2128,25385,18530,27535,26950,45753,32521
77,43588,18156,s14230,48850,39832,28550,8657,6946,11107,29790,s28488,s10641,12416,6412,16028,40156,38762,41538,46956,46115,3432,8057,27712
78,7373,44321,s10609,46453,43800,10537,18621,2475,45198,28258,s32028,s36912,5568,15872,46066,9720,9392,26679,14096,26043,14081,25200,33922
79,3876,26531,s18295,6120,13876,25481,14135,10492,42401,15822,s7836,s1193,23816,40151,27334,33522,46702,16409,2504,5950,3782,21296,19823
80,45873,47083,s34114,32569,18608,36595,39995,20274,2556,48885,s30739,s37504,37303,29654,24081,20399,30159,11448,14726,14138,24710,32715,14499
81,43547,28189,s27207,30391,42419,10337,42918,16185,9034,15088,s49831,s48441,31539,44429,27827,4707,25003,49731,7605,16348,15615,45844,13463
82,33672,34071,s20381,27341,49599,8261,7444,25937,29578,25695,s45772,s26540,26603,43928,38713,41072,29747,6266,40388,21590,49943,29059,31511
83,41032,19960,s28583,29448,45311,16756,33259,4580,2732,11757,s48258,s28724,20490,21601,35082,6523,21138,37487,19971,48368,15714,25005,14812
84,36485,30176,s41900,36991,8594,18465,6979,23779,26253,30249,s42779,s46744,39355,42541,42677,30104,14878,20915,15230,15263,21588,33641,38519
85,19108,30958,s6992,26117,13256,35165,20101,4980,37543,29700,s21595,s3124,15643,15762,45423,19531,32011,12718,45121,21057,19222,36411,33064
86,23888,22683,s17344,39851,31140,47571,49293,48614,22679,17740,s44707,s36436,20730,6475,29761,14271,31117,21477,9611,17042,4146,40418,29191
87,25017,6127,s21000,45059,5799,8719,23936,21439,7292,13856,s5669,s27681,49471,45515,38576,4111,30397,8679,15332,47083,26849,25663,44561
88,19671,4676,s8504,10874,30878,36990,37124,29005,40478,15378,s35018,s3653,39562,12479,12473,13763,29035,23311,7310,36185,14463,26653,48579
89,5398,6206,s41769,39610,22962,8929,13052,24428,23946,28396,s47810,s48764,950,30079,11117,31253,28636,47901,365,44070,47628,38744,42783
90,39570,7730,s28997,20191,28049,26366,21771,11598,26637,29284,s24121,s11279,32973,2748,39420,46124,7653,19449,27148,23615,28100,1518,7364
91,40287,3839,s48837,31685,41892,24874,15154,16645,22059,23602,s33625,s15021,24456,33175,27743,47092,31453,39651,23597,1520,767,4220,28598
92,24339,39989,s32593,33934,34846,42811,32009,30749,37491,22072,s41773,s15644,7657,13091,45712,17915,3537,9153,32898,27221,37129,4609,34615
93,4606,12213,s13210,35419,46779,46852,33138,1305,6366,37721,s37466,s3818,15761,37418,35736,15384,37926,11411,18861,11667,45269,47966,16049
94,14727,27401,s47448,43961,32515,25657,29025,43088,1737,30562,s11412,s5981,18072,16287,38282,5692,39263,22501,5439,43777,30618,26523,2369
95,46840,921,s38963,12620,23333,33753,6244,6146,45881,42222,s24708,s36288,39703,10680,25640,14002,8889,27649,41549,44331,884,38106,21768
96,32713,37481,s12377,15433,6748,44920,34025,15798,32271,18407,s31623,s19728,4992,28286,22380,566,16082,342,33772,31124,13855,14831,12906
97,3757,5153,s5585,49642,9120,37519,17621,34290,22687,15516,s30611,s10664,11947,980,36394,38508,30683,37734,38593,49389,46092,956,45824
98,22259,17200,s25473,38066,3652,11676,26753,16675,4374,34574,s15172,s24611,16149,18682,49485,19389,26648,20185,45666,38131,28554,10117,40624
99,15135,8872,s44654,45962,7216,6801,46579,20427,37218,16082,s42014,s37455,9690,10938,22171,18560,26050,7660,32717,11045,5077,21704,9142
